Project_ID,Task_ID,Owner,Planned_Duration,Actual_Duration,Status,Start_Date,End_Date,Priority,Dependency
PROJ_104,T1047,Team C,17,17,Completed,2024-01-08,2024-01-25,Medium,None
PROJ_104,T1048,Team A,14,18,In Progress,2024-01-11,2024-01-25,Medium,None
PROJ_104,T1049,Team A,19,19,In Progress,2024-01-12,2024-01-31,Medium,T1000
PROJ_104,T1050,Team C,19,23,Completed,2024-01-15,2024-02-03,High,None
PROJ_104,T1051,Internal,13,17,In Progress,2024-01-17,2024-01-30,High,T1029
PROJ_104,T1052,Team B,9,11,Not Started,2024-01-21,2024-01-30,Medium,None
PROJ_104,T1053,Team B,18,22,In Progress,2024-01-23,2024-02-10,Low,None
PROJ_104,T1054,Team A,14,14,Blocked,2024-01-26,2024-02-09,Medium,None
PROJ_104,T1055,Team C,11,11,Not Started,2024-01-30,2024-02-10,Low,None
PROJ_104,T1056,Team C,5,5,Completed,2024-02-03,2024-02-08,Low,T1002
PROJ_104,T1057,Internal,14,14,In Progress,2024-02-07,2024-02-21,High,None
PROJ_104,T1058,Team B,6,6,In Progress,2024-02-10,2024-02-16,Medium,None
PROJ_104,T1059,Vendor X,6,6,In Progress,2024-02-12,2024-02-18,Medium,None
PROJ_105,T1060,Team A,8,8,Completed,2024-01-01,2024-01-09,Medium,T1036
PROJ_105,T1061,Vendor X,7,7,Completed,2024-01-05,2024-01-12,Medium,None
PROJ_105,T1062,Internal,18,22,In Progress,2024-01-08,2024-01-26,Medium,None
PROJ_105,T1063,Team A,5,12,Completed,2024-01-09,2024-01-14,Medium,None
PROJ_105,T1064,Vendor X,16,20,Blocked,2024-01-13,2024-01-29,Medium,T1027
PROJ_105,T1065,Internal,8,8,Completed,2024-01-17,2024-01-25,High,None
PROJ_105,T1066,Team A,9,11,Blocked,2024-01-20,2024-01-29,High,None
PROJ_105,T1067,Internal,18,18,Completed,2024-01-23,2024-02-10,Medium,T1017
PROJ_105,T1068,Internal,14,14,Completed,2024-01-24,2024-02-07,Low,T1045
PROJ_105,T1069,Team B,13,13,Completed,2024-01-26,2024-02-08,High,None
PROJ_105,T1070,Team A,17,17,Completed,2024-01-30,2024-02-16,Low,T1044
PROJ_105,T1071,Team C,16,16,Completed,2024-02-01,2024-02-17,High,None
PROJ_105,T1072,Team B,17,21,Completed,2024-02-04,2024-02-21,Medium,None
PROJ_105,T1073,Vendor X,11,11,Completed,2024-02-05,2024-02-16,Low,None
PROJ_105,T1074,Team B,12,12,In Progress,2024-02-06,2024-02-18,High,None
PROJ_105,T1075,Vendor X,9,16,Blocked,2024-02-09,2024-02-18,High,T1018
PROJ_105,T1076,Team A,19,19,In Progress,2024-02-11,2024-03-01,Medium,T1002
PROJ_106,T1077,Vendor X,12,19,Completed,2024-01-01,2024-01-13,Medium,None
PROJ_106,T1078,Internal,16,16,In Progress,2024-01-03,2024-01-19,Low,None
PROJ_106,T1079,Vendor X,5,5,In Progress,2024-01-06,2024-01-11,Medium,None
PROJ_106,T1080,Internal,17,24,Blocked,2024-01-09,2024-01-26,Medium,None
PROJ_106,T1081,Team A,6,6,Not Started,2024-01-11,2024-01-17,Medium,T1017
PROJ_106,T1082,Team A,15,19,Completed,2024-01-12,2024-01-27,Low,None
PROJ_106,T1083,Team A,6,6,Completed,2024-01-13,2024-01-19,High,T1054
PROJ_106,T1084,Internal,9,13,Blocked,2024-01-14,2024-01-23,Medium,T1052
PROJ_106,T1085,Team A,7,7,In Progress,2024-01-16,2024-01-23,High,None
PROJ_106,T1086,Team B,18,18,Completed,2024-01-20,2024-02-07,Medium,None
PROJ_106,T1087,Team C,6,13,Completed,2024-01-22,2024-01-28,Medium,None
PROJ_106,T1088,Team A,18,25,Completed,2024-01-23,2024-02-10,High,None
PROJ_106,T1089,Team C,9,16,Completed,2024-01-24,2024-02-02,Low,None
PROJ_106,T1090,Team C,6,6,Completed,2024-01-26,2024-02-01,High,None
PROJ_106,T1091,Team B,12,14,In Progress,2024-01-27,2024-02-08,Low,T1004
PROJ_106,T1092,Vendor X,12,12,Completed,2024-01-29,2024-02-10,High,T1068
PROJ_106,T1093,Team C,6,10,In Progress,2024-01-30,2024-02-05,High,None
PROJ_106,T1094,Vendor X,15,22,Completed,2024-02-02,2024-02-17,High,None
PROJ_106,T1095,Team B,7,7,Completed,2024-02-06,2024-02-13,Medium,None
PROJ_107,T1096,Internal,16,16,In Progress,2024-01-01,2024-01-17,Medium,None
PROJ_107,T1097,Team B,18,18,In Progress,2024-01-03,2024-01-21,Medium,None
PROJ_107,T1098,Team C,13,20,Not Started,2024-01-06,2024-01-19,Low,None
PROJ_107,T1099,Vendor X,5,5,Completed,2024-01-10,2024-01-15,High,None
PROJ_107,T1100,Internal,16,23,Completed,2024-01-12,2024-01-28,High,None
PROJ_107,T1101,Vendor X,7,14,Completed,2024-01-15,2024-01-22,High,None
PROJ_107,T1102,Team A,13,17,In Progress,2024-01-18,2024-01-31,Low,None
PROJ_107,T1103,Team A,13,13,In Progress,2024-01-22,2024-02-04,Medium,None
PROJ_107,T1104,Team B,19,21,Completed,2024-01-24,2024-02-12,Medium,None
PROJ_107,T1105,Vendor X,14,14,In Progress,2024-01-27,2024-02-10,Medium,None
PROJ_107,T1106,Team A,17,24,Completed,2024-01-30,2024-02-16,High,None
PROJ_108,T1107,Team A,18,18,Not Started,2024-01-01,2024-01-19,High,None
PROJ_108,T1108,Vendor X,12,19,In Progress,2024-01-05,2024-01-17,Low,T1078
PROJ_108,T1109,Team A,18,25,Completed,2024-01-06,2024-01-24,Medium,None
PROJ_108,T1110,Team B,17,19,In Progress,2024-01-09,2024-01-26,Medium,None
PROJ_108,T1111,Team B,5,7,In Progress,2024-01-13,2024-01-18,Medium,None
PROJ_108,T1112,Team C,19,21,In Progress,2024-01-16,2024-02-04,High,None
PROJ_108,T1113,Internal,11,11,Blocked,2024-01-17,2024-01-28,Medium,None
PROJ_108,T1114,Team C,13,13,In Progress,2024-01-18,2024-01-31,Medium,T1048
PROJ_108,T1115,Team C,16,16,In Progress,2024-01-22,2024-02-07,Low,None
PROJ_108,T1116,Internal,12,19,Not Started,2024-01-23,2024-02-04,High,T1104
PROJ_108,T1117,Internal,18,18,In Progress,2024-01-27,2024-02-14,High,None
PROJ_108,T1118,Team B,13,17,Completed,2024-01-31,2024-02-13,Low,T1038
PROJ_108,T1119,Team A,7,11,In Progress,2024-02-04,2024-02-11,High,None
PROJ_109,T1120,Team C,12,12,Completed,2024-01-01,2024-01-13,Medium,None
PROJ_109,T1121,Team C,19,23,Completed,2024-01-05,2024-01-24,Medium,T1037
PROJ_109,T1122,Vendor X,9,9,Completed,2024-01-06,2024-01-15,Medium,None
PROJ_109,T1123,Vendor X,5,12,Completed,2024-01-08,2024-01-13,Medium,None
PROJ_109,T1124,Vendor X,12,16,Completed,2024-01-09,2024-01-21,Medium,None
PROJ_109,T1125,Team C,7,9,Completed,2024-01-12,2024-01-19,Medium,None
PROJ_109,T1126,Team B,12,19,In Progress,2024-01-14,2024-01-26,Low,T1011
PROJ_109,T1127,Vendor X,18,18,Completed,2024-01-18,2024-02-05,Medium,None
PROJ_109,T1128,Team B,9,13,Completed,2024-01-22,2024-01-31,Medium,None
PROJ_109,T1129,Team A,7,11,In Progress,2024-01-24,2024-01-31,Low,None
PROJ_109,T1130,Team A,14,21,In Progress,2024-01-25,2024-02-08,Medium,None
PROJ_109,T1131,Team B,9,9,Completed,2024-01-28,2024-02-06,Low,None
PROJ_109,T1132,Team C,19,21,Completed,2024-01-31,2024-02-19,Low,None
PROJ_109,T1133,Team A,15,17,Blocked,2024-02-03,2024-02-18,Medium,None
PROJ_110,T1134,Team A,14,16,In Progress,2024-01-01,2024-01-15,High,None
PROJ_110,T1135,Internal,10,17,Not Started,2024-01-05,2024-01-15,High,None
PROJ_110,T1136,Team C,18,18,In Progress,2024-01-06,2024-01-24,Medium,None
PROJ_110,T1137,Team C,18,18,Not Started,2024-01-07,2024-01-25,Medium,None
PROJ_110,T1138,Internal,7,9,In Progress,2024-01-09,2024-01-16,High,None
PROJ_110,T1139,Team A,7,14,Completed,2024-01-11,2024-01-18,High,T1031
PROJ_110,T1140,Team C,12,12,Completed,2024-01-12,2024-01-24,High,None
PROJ_110,T1141,Vendor X,9,9,Completed,2024-01-15,2024-01-24,High,None
PROJ_110,T1142,Vendor X,12,19,Completed,2024-01-17,2024-01-29,Low,None
PROJ_110,T1143,Internal,6,6,Not Started,2024-01-21,2024-01-27,High,T1124
PROJ_110,T1144,Internal,16,16,Completed,2024-01-22,2024-02-07,Medium,None
PROJ_110,T1145,Team A,16,18,Completed,2024-01-25,2024-02-10,Medium,T1098
PROJ_110,T1146,Team C,16,16,Completed,2024-01-27,2024-02-12,Low,None
PROJ_110,T1147,Team B,7,7,In Progress,2024-01-29,2024-02-05,Medium,None
PROJ_110,T1148,Team B,15,22,Blocked,2024-01-31,2024-02-15,Low,None
